canonical_id,old_theme_label,new_cluster_id,new_theme_label,coherence,supports_share,new_theme_description
,,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c0,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c10,Smooth and Youthful,4,Smooth Move Praise,0.7562,0.9000,"Comments emphasizing how smooth a particular action or line was, with 'that was smooth' as the core phrase."
c100,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c101,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c102,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c103,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c104,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c105,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c106,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c107,Smooth and Youthful,26,Looks 17 Years Old,0.8627,1.0000,Comments noting that someone looks 17 years old despite being older.
c108,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c109,Exclamations and Questions,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c11,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c110,Personal Statements,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c111,Smooth and Youthful,26,Looks 17 Years Old,0.8627,1.0000,Comments noting that someone looks 17 years old despite being older.
c112,Smooth and Youthful,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c113,Smooth and Youthful,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c114,Smooth and Youthful,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c115,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c116,Personal Statements,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c117,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c118,Personal Statements,54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c119,Step-by-Step Instructions,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c12,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c120,Step-by-Step Instructions,37,Flight Preparation Steps,0.6720,1.0000,"Comments listing prerequisite steps for getting on a flight (get job, earn money, book ticket, board)."
c121,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c122,Step-by-Step Instructions,36,Other,0.6831,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c123,Step-by-Step Instructions,37,Flight Preparation Steps,0.6720,1.0000,"Comments listing prerequisite steps for getting on a flight (get job, earn money, book ticket, board)."
c124,Step-by-Step Instructions,37,Flight Preparation Steps,0.6720,1.0000,"Comments listing prerequisite steps for getting on a flight (get job, earn money, book ticket, board)."
c125,Step-by-Step Instructions,37,Flight Preparation Steps,0.6720,1.0000,"Comments listing prerequisite steps for getting on a flight (get job, earn money, book ticket, board)."
c126,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c127,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c128,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c129,Smooth and Youthful,5,Other,0.6895,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c13,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c130,Step-by-Step Instructions,21,Other,0.5410,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c131,Step-by-Step Instructions,8,Where to Watch Requests,0.7067,1.0000,Comments asking where to find or watch the content being discussed.
c132,Step-by-Step Instructions,17,Craig Name Jokes,0.7394,1.0000,"Jokes and wordplay about the name 'Craig,' including Craigslist puns."
c133,Smooth and Youthful,25,Generic Positive Reactions,0.7244,1.0000,"Brief positive comments like 'nice,' 'cute,' and compliments on photos/lighting."
c134,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c135,Step-by-Step Instructions,36,Other,0.6831,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c136,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c137,Smooth and Youthful,27,Looks 17 Years Old,0.8333,1.0000,"Comments about a 37-year-old model who looks 17, or references to someone claiming to look 17."
c138,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c139,Wordplay on 'Knee',48,Kneed vs Need Wordplay,0.6754,0.9000,"Comments discussing the word 'kneed' (hit with knee) and its potential confusion with 'need,' debating proper usage."
c14,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c140,Positive Affirmations,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c141,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c142,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c143,Smooth and Youthful,17,Craig Name Jokes,0.7394,1.0000,"Jokes and wordplay about the name 'Craig,' including Craigslist puns."
c144,Media Identification,11,Content Name Requests,0.8401,1.0000,Comments specifically asking for the name of a series and where to watch it.
c145,Personal Statements,1,Other,0.5150,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c146,AI or Fake Content,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c147,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c148,Observations on Women,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c149,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c15,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c150,Step-by-Step Instructions,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c151,Smooth and Youthful,26,Looks 17 Years Old,0.8627,1.0000,Comments noting that someone looks 17 years old despite being older.
c152,Exclamations and Questions,29,English Language Criticism,0.6770,1.0000,Comments criticizing or expressing frustration with the English language and its confusing rules.
c153,Observations on Women,54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c154,Smooth and Youthful,4,Smooth Move Praise,0.7562,0.9000,"Comments emphasizing how smooth a particular action or line was, with 'that was smooth' as the core phrase."
c155,Step-by-Step Instructions,20,Other,0.6300,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c156,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c157,Media Identification,13,Only Happens in Movies,0.7078,1.0000,"Comments noting that the depicted scenario only occurs in fictional movies, not real life."
c158,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c159,Exclamations and Questions,24,New Word Discovery,0.7532,1.0000,Comments expressing surprise at encountering a new or unfamiliar word.
c16,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c160,Positive Affirmations,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c161,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c162,Positive Affirmations,46,Other,0.6940,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c163,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c164,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c165,Step-by-Step Instructions,12,Acknowledging Mistakes or Errors,0.6915,0.8500,"Comments recognizing or admitting to mistakes, errors, or being wrong about something."
c166,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c167,Speeding and Traffic Stops,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c168,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c169,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c17,Wordplay on 'Knee',55,Kneed vs Need Wordplay,0.7836,1.0000,"Brief comments making puns or references involving the word 'knee' (knee grow, knee game, brain in knee)."
c170,Personal Statements,19,Hostile Dismissive Reactions,0.6268,0.8500,Aggressive or dismissive comments telling people off or expressing hatred for certain behaviors.
c171,Step-by-Step Instructions,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c172,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c173,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c174,Personal Statements,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c175,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c176,Personal Statements,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c177,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c178,AI or Fake Content,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c179,Conflict and Consequences,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c18,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c180,Speeding and Traffic Stops,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c181,Speeding and Traffic Stops,22,Other,0.6081,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c182,Conflict and Consequences,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c183,Conflict and Consequences,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c184,Media Identification,10,Content Name Requests,0.8378,1.0000,Comments asking for the title of the show or movie being shown.
c185,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c186,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c187,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c188,Step-by-Step Instructions,49,Other,0.5639,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c189,Positive Affirmations,49,Other,0.5639,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c19,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c190,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c191,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c192,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c193,Smooth and Youthful,25,Generic Positive Reactions,0.7244,1.0000,"Brief positive comments like 'nice,' 'cute,' and compliments on photos/lighting."
c194,Personal Statements,22,Other,0.6081,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c195,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c196,Step-by-Step Instructions,21,Other,0.5410,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c197,Observations on Women,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c198,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c199,Speeding and Traffic Stops,28,Traffic Stop Rights Debate,0.6007,0.8000,"Comments debating police traffic stops, speeding, rights during stops, and quota systems."
c2,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c20,Exclamations and Questions,24,New Word Discovery,0.7532,1.0000,Comments expressing surprise at encountering a new or unfamiliar word.
c200,Observations on Women,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c201,Observations on Women,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c202,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c203,Exclamations and Questions,17,Craig Name Jokes,0.7394,1.0000,"Jokes and wordplay about the name 'Craig,' including Craigslist puns."
c204,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c205,Step-by-Step Instructions,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c206,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c207,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c208,Step-by-Step Instructions,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c209,Step-by-Step Instructions,19,Hostile Dismissive Reactions,0.6268,0.8500,Aggressive or dismissive comments telling people off or expressing hatred for certain behaviors.
c21,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c210,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c211,Observations on Women,17,Craig Name Jokes,0.7394,1.0000,"Jokes and wordplay about the name 'Craig,' including Craigslist puns."
c212,Observations on Women,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c213,Personal Statements,52,Kneed vs Need Wordplay,0.6553,0.8500,Comments making jokes or observations about the kneed/need wordplay in different contexts.
c214,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c215,Exclamations and Questions,29,English Language Criticism,0.6770,1.0000,Comments criticizing or expressing frustration with the English language and its confusing rules.
c216,Observations on Women,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c217,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c218,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c219,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c220,Observations on Women,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c221,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c222,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c223,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c224,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c225,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c226,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c227,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c228,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c229,Observations on Women,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c23,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c230,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c231,Observations on Women,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c232,Smooth and Youthful,38,Other,0.7342,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
