canonical_id,old_theme_label,new_cluster_id,new_theme_label,coherence,supports_share,new_theme_description
c233,Step-by-Step Instructions,19,Hostile Dismissive Reactions,0.6268,0.8500,Aggressive or dismissive comments telling people off or expressing hatred for certain behaviors.
c234,Observations on Women,6,Critical Women Comments,0.6719,1.0000,"Derogatory comments attacking women as stupid, entitled, or problematic, using slurs and generalizations."
c235,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c236,Observations on Women,6,Critical Women Comments,0.6719,1.0000,"Derogatory comments attacking women as stupid, entitled, or problematic, using slurs and generalizations."
c237,Step-by-Step Instructions,12,Acknowledging Mistakes or Errors,0.6915,0.8500,"Comments recognizing or admitting to mistakes, errors, or being wrong about something."
c238,Observations on Women,6,Critical Women Comments,0.6719,1.0000,"Derogatory comments attacking women as stupid, entitled, or problematic, using slurs and generalizations."
c239,Observations on Women,6,Critical Women Comments,0.6719,1.0000,"Derogatory comments attacking women as stupid, entitled, or problematic, using slurs and generalizations."
c24,Step-by-Step Instructions,54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c240,Smooth and Youthful,22,Other,0.6081,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c241,Speeding and Traffic Stops,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c242,Speeding and Traffic Stops,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c243,Smooth and Youthful,13,Only Happens in Movies,0.7078,1.0000,"Comments noting that the depicted scenario only occurs in fictional movies, not real life."
c244,Smooth and Youthful,46,Other,0.6940,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c245,Speeding and Traffic Stops,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c246,Smooth and Youthful,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c247,Wordplay on 'Knee',47,Kneed vs Need Wordplay,0.6855,0.8500,"Comments explaining that 'kneed' means hitting someone with a knee, with discussion of the term."
c248,Personal Statements,48,Kneed vs Need Wordplay,0.6754,0.9000,"Comments discussing the word 'kneed' (hit with knee) and its potential confusion with 'need,' debating proper usage."
c249,Wordplay on 'Knee',48,Kneed vs Need Wordplay,0.6754,0.9000,"Comments discussing the word 'kneed' (hit with knee) and its potential confusion with 'need,' debating proper usage."
c25,Step-by-Step Instructions,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c250,Wordplay on 'Knee',-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c251,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c252,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c253,Wordplay on 'Knee',48,Kneed vs Need Wordplay,0.6754,0.9000,"Comments discussing the word 'kneed' (hit with knee) and its potential confusion with 'need,' debating proper usage."
c254,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c255,Exclamations and Questions,24,New Word Discovery,0.7532,1.0000,Comments expressing surprise at encountering a new or unfamiliar word.
c256,Wordplay on 'Knee',53,Kneed vs Need Wordplay,0.6938,1.0000,Comments joking about intentionally kneeing people as a flirting or social strategy.
c257,Step-by-Step Instructions,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c258,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c259,Observations on Women,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c26,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c260,Positive Affirmations,50,Other,0.7095,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c261,Personal Statements,19,Hostile Dismissive Reactions,0.6268,0.8500,Aggressive or dismissive comments telling people off or expressing hatred for certain behaviors.
c262,Smooth and Youthful,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c263,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c264,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c265,AI or Fake Content,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c266,Observations on Women,40,Violent Hypothetical Reactions,0.5663,0.9000,"Comments suggesting violent actions like kicking someone out, killing, hijacking, or crashing."
c267,Smooth and Youthful,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c268,Exclamations and Questions,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c269,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c27,Media Identification,10,Content Name Requests,0.8378,1.0000,Comments asking for the title of the show or movie being shown.
c270,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c271,Exclamations and Questions,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c272,Positive Affirmations,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c273,Exclamations and Questions,38,Other,0.7342,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c274,Smooth and Youthful,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c275,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c276,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c277,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c278,Step-by-Step Instructions,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c279,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c28,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c280,Step-by-Step Instructions,14,Movie Existence Debate,0.5946,0.8500,Comments debating whether the content is from a real movie or is a short video/non-existent film.
c281,Positive Affirmations,41,Negative One-Word Reactions,0.6988,1.0000,"Brief negative assessments: 'sheesh,' 'cringe,' 'cheeks,' 'creepy.'"
c282,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c283,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c284,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c285,Positive Affirmations,41,Negative One-Word Reactions,0.6988,1.0000,"Brief negative assessments: 'sheesh,' 'cringe,' 'cheeks,' 'creepy.'"
c286,Smooth and Youthful,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c287,Media Identification,10,Content Name Requests,0.8378,1.0000,Comments asking for the title of the show or movie being shown.
c288,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c289,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c29,Exclamations and Questions,38,Other,0.7342,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c290,Smooth and Youthful,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c291,AI or Fake Content,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c292,Wordplay on 'Knee',47,Kneed vs Need Wordplay,0.6855,0.8500,"Comments explaining that 'kneed' means hitting someone with a knee, with discussion of the term."
c293,Personal Statements,52,Kneed vs Need Wordplay,0.6553,0.8500,Comments making jokes or observations about the kneed/need wordplay in different contexts.
c294,Media Identification,10,Content Name Requests,0.8378,1.0000,Comments asking for the title of the show or movie being shown.
c295,AI or Fake Content,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c296,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c297,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c298,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c299,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c3,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c30,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c300,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c301,Smooth and Youthful,0,Compliments on Gameplay,0.7062,0.9500,"Comments praising someone's performance or skill in a game, using phrases like 'well played' and 'nice one'."
c302,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c303,Smooth and Youthful,4,Smooth Move Praise,0.7562,0.9000,"Comments emphasizing how smooth a particular action or line was, with 'that was smooth' as the core phrase."
c304,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c305,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c306,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c307,Positive Affirmations,12,Acknowledging Mistakes or Errors,0.6915,0.8500,"Comments recognizing or admitting to mistakes, errors, or being wrong about something."
c308,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c309,Positive Affirmations,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c31,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c310,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c311,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c312,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c313,Positive Affirmations,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c314,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c315,Positive Affirmations,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c316,Positive Affirmations,41,Negative One-Word Reactions,0.6988,1.0000,"Brief negative assessments: 'sheesh,' 'cringe,' 'cheeks,' 'creepy.'"
c317,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c318,Media Identification,14,Movie Existence Debate,0.5946,0.8500,Comments debating whether the content is from a real movie or is a short video/non-existent film.
c319,Wordplay on 'Knee',48,Kneed vs Need Wordplay,0.6754,0.9000,"Comments discussing the word 'kneed' (hit with knee) and its potential confusion with 'need,' debating proper usage."
c32,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c320,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c321,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c322,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c323,Wordplay on 'Knee',55,Kneed vs Need Wordplay,0.7836,1.0000,"Brief comments making puns or references involving the word 'knee' (knee grow, knee game, brain in knee)."
c324,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c325,Media Identification,14,Movie Existence Debate,0.5946,0.8500,Comments debating whether the content is from a real movie or is a short video/non-existent film.
c326,Exclamations and Questions,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c327,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c328,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c329,Positive Affirmations,0,Compliments on Gameplay,0.7062,0.9500,"Comments praising someone's performance or skill in a game, using phrases like 'well played' and 'nice one'."
c33,Step-by-Step Instructions,36,Other,0.6831,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c330,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c331,Personal Statements,21,Other,0.5410,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c332,Exclamations and Questions,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c334,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c336,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c337,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c338,Step-by-Step Instructions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c339,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c34,Exclamations and Questions,29,English Language Criticism,0.6770,1.0000,Comments criticizing or expressing frustration with the English language and its confusing rules.
c340,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c341,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c342,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c343,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c344,Observations on Women,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c345,Personal Statements,22,Other,0.6081,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c347,Media Identification,32,Content Name Requests,0.7451,0.9000,Comments asking which movie is shown or discussing movie quality.
c348,Personal Statements,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c349,Step-by-Step Instructions,12,Acknowledging Mistakes or Errors,0.6915,0.8500,"Comments recognizing or admitting to mistakes, errors, or being wrong about something."
c35,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c350,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c351,Step-by-Step Instructions,22,Other,0.6081,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c352,Personal Statements,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c353,Personal Statements,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c354,Media Identification,14,Movie Existence Debate,0.5946,0.8500,Comments debating whether the content is from a real movie or is a short video/non-existent film.
c356,Media Identification,8,Where to Watch Requests,0.7067,1.0000,Comments asking where to find or watch the content being discussed.
c357,Media Identification,14,Movie Existence Debate,0.5946,0.8500,Comments debating whether the content is from a real movie or is a short video/non-existent film.
c358,Media Identification,14,Movie Existence Debate,0.5946,0.8500,Comments debating whether the content is from a real movie or is a short video/non-existent film.
c359,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c36,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c360,Personal Statements,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c361,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c362,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c363,Personal Statements,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c364,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c365,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c366,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c367,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c368,Positive Affirmations,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c369,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c37,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c370,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c371,Media Identification,8,Where to Watch Requests,0.7067,1.0000,Comments asking where to find or watch the content being discussed.
