canonical_id,old_theme_label,new_cluster_id,new_theme_label,coherence,supports_share,new_theme_description
c372,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c373,Personal Statements,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c374,Media Identification,32,Content Name Requests,0.7451,0.9000,Comments asking which movie is shown or discussing movie quality.
c375,Media Identification,11,Content Name Requests,0.8401,1.0000,Comments specifically asking for the name of a series and where to watch it.
c376,Personal Statements,40,Violent Hypothetical Reactions,0.5663,0.9000,"Comments suggesting violent actions like kicking someone out, killing, hijacking, or crashing."
c377,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c378,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c379,Positive Affirmations,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c38,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c380,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c381,Positive Affirmations,41,Negative One-Word Reactions,0.6988,1.0000,"Brief negative assessments: 'sheesh,' 'cringe,' 'cheeks,' 'creepy.'"
c382,Positive Affirmations,25,Generic Positive Reactions,0.7244,1.0000,"Brief positive comments like 'nice,' 'cute,' and compliments on photos/lighting."
c383,Wordplay on 'Knee',53,Kneed vs Need Wordplay,0.6938,1.0000,Comments joking about intentionally kneeing people as a flirting or social strategy.
c384,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c385,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c386,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c387,Observations on Women,40,Violent Hypothetical Reactions,0.5663,0.9000,"Comments suggesting violent actions like kicking someone out, killing, hijacking, or crashing."
c388,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c389,Step-by-Step Instructions,40,Violent Hypothetical Reactions,0.5663,0.9000,"Comments suggesting violent actions like kicking someone out, killing, hijacking, or crashing."
c39,Smooth and Youthful,4,Smooth Move Praise,0.7562,0.9000,"Comments emphasizing how smooth a particular action or line was, with 'that was smooth' as the core phrase."
c390,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c391,Step-by-Step Instructions,49,Other,0.5639,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c392,Personal Statements,19,Hostile Dismissive Reactions,0.6268,0.8500,Aggressive or dismissive comments telling people off or expressing hatred for certain behaviors.
c393,Observations on Women,40,Violent Hypothetical Reactions,0.5663,0.9000,"Comments suggesting violent actions like kicking someone out, killing, hijacking, or crashing."
c394,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c395,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c397,Step-by-Step Instructions,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c398,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c399,Step-by-Step Instructions,36,Other,0.6831,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c4,Wordplay on 'Knee',48,Kneed vs Need Wordplay,0.6754,0.9000,"Comments discussing the word 'kneed' (hit with knee) and its potential confusion with 'need,' debating proper usage."
c40,Exclamations and Questions,0,Compliments on Gameplay,0.7062,0.9500,"Comments praising someone's performance or skill in a game, using phrases like 'well played' and 'nice one'."
c400,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c401,Smooth and Youthful,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c402,Smooth and Youthful,26,Looks 17 Years Old,0.8627,1.0000,Comments noting that someone looks 17 years old despite being older.
c403,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c404,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c405,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c406,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c407,Media Identification,8,Where to Watch Requests,0.7067,1.0000,Comments asking where to find or watch the content being discussed.
c408,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c409,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c41,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c410,Exclamations and Questions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c412,Positive Affirmations,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c413,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c416,Media Identification,32,Content Name Requests,0.7451,0.9000,Comments asking which movie is shown or discussing movie quality.
c417,Media Identification,11,Content Name Requests,0.8401,1.0000,Comments specifically asking for the name of a series and where to watch it.
c418,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c419,Step-by-Step Instructions,20,Other,0.6300,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c42,Speeding and Traffic Stops,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c420,Smooth and Youthful,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c421,Smooth and Youthful,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c422,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c423,Smooth and Youthful,27,Looks 17 Years Old,0.8333,1.0000,"Comments about a 37-year-old model who looks 17, or references to someone claiming to look 17."
c424,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c426,Exclamations and Questions,16,Content Name Requests,0.8531,1.0000,"Brief comments asking for a name, likely of a person, show, or movie."
c428,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c429,Wordplay on 'Knee',47,Kneed vs Need Wordplay,0.6855,0.8500,"Comments explaining that 'kneed' means hitting someone with a knee, with discussion of the term."
c43,Personal Statements,42,Other,0.5359,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c430,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c431,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c432,Media Identification,34,Content Name Requests,0.8339,1.0000,Comments asking for the title or name of the movie being shown.
c433,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c434,Smooth and Youthful,27,Looks 17 Years Old,0.8333,1.0000,"Comments about a 37-year-old model who looks 17, or references to someone claiming to look 17."
c436,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c437,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c438,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c439,Step-by-Step Instructions,50,Other,0.7095,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c44,Positive Affirmations,19,Hostile Dismissive Reactions,0.6268,0.8500,Aggressive or dismissive comments telling people off or expressing hatred for certain behaviors.
c440,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c441,Observations on Women,7,Critical Women Comments,0.6437,0.8500,"Comments making generalizations or critical observations about women's behavior, often dismissive or stereotyping."
c442,Wordplay on 'Knee',55,Kneed vs Need Wordplay,0.7836,1.0000,"Brief comments making puns or references involving the word 'knee' (knee grow, knee game, brain in knee)."
c444,Positive Affirmations,51,Other,0.7598,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c445,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c446,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c447,Personal Statements,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c448,Smooth and Youthful,23,MatPat Lookalike Debate,0.5817,0.8000,Comments debating whether someone in the video looks like MatPat or other people.
c449,Positive Affirmations,46,Other,0.6940,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c45,Step-by-Step Instructions,20,Other,0.6300,0.3000,"LLM route-to-Other: supports=30%, mixed_flag=True."
c451,Smooth and Youthful,27,Looks 17 Years Old,0.8333,1.0000,"Comments about a 37-year-old model who looks 17, or references to someone claiming to look 17."
c452,Exclamations and Questions,44,Requesting Explanation or Context,0.7823,1.0000,"Comments asking what the content is, what it's from, or requesting the source."
c453,Exclamations and Questions,38,Other,0.7342,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c456,Wordplay on 'Knee',47,Kneed vs Need Wordplay,0.6855,0.8500,"Comments explaining that 'kneed' means hitting someone with a knee, with discussion of the term."
c457,Exclamations and Questions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c458,Observations on Women,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c46,Positive Affirmations,50,Other,0.7095,0.2000,"LLM route-to-Other: supports=20%, mixed_flag=True."
c463,Personal Statements,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c466,Step-by-Step Instructions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c47,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c470,Positive Affirmations,51,Other,0.7598,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c471,Media Identification,32,Content Name Requests,0.7451,0.9000,Comments asking which movie is shown or discussing movie quality.
c474,Media Identification,10,Content Name Requests,0.8378,1.0000,Comments asking for the title of the show or movie being shown.
c476,Media Identification,32,Content Name Requests,0.7451,0.9000,Comments asking which movie is shown or discussing movie quality.
c478,Step-by-Step Instructions,18,Cannot Find Content,0.6331,0.8000,Comments expressing frustration about being unable to locate or find the referenced content online.
c479,Exclamations and Questions,43,Requesting Explanation or Context,0.7245,0.9500,"Comments asking for explanation, context, or expressing not understanding what happened."
c48,Positive Affirmations,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c480,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c481,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c49,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c5,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c50,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c51,Smooth and Youthful,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c52,Smooth and Youthful,0,Compliments on Gameplay,0.7062,0.9500,"Comments praising someone's performance or skill in a game, using phrases like 'well played' and 'nice one'."
c53,Smooth and Youthful,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c54,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c55,Smooth and Youthful,25,Generic Positive Reactions,0.7244,1.0000,"Brief positive comments like 'nice,' 'cute,' and compliments on photos/lighting."
c56,Smooth and Youthful,0,Compliments on Gameplay,0.7062,0.9500,"Comments praising someone's performance or skill in a game, using phrases like 'well played' and 'nice one'."
c57,Smooth and Youthful,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c58,Observations on Women,1,Other,0.5150,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c59,Smooth and Youthful,29,English Language Criticism,0.6770,1.0000,Comments criticizing or expressing frustration with the English language and its confusing rules.
c6,Speeding and Traffic Stops,39,Woman's Reaction Analysis,0.5813,0.7500,"Comments analyzing a woman's behavior in a scene—her apology, misunderstanding, condescension, and eventual acceptance."
c60,Smooth and Youthful,5,Other,0.6895,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
c61,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c62,Positive Affirmations,45,Other,0.6571,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c63,Observations on Women,6,Critical Women Comments,0.6719,1.0000,"Derogatory comments attacking women as stupid, entitled, or problematic, using slurs and generalizations."
c64,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c65,AI or Fake Content,30,Other,0.6566,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c66,Positive Affirmations,25,Generic Positive Reactions,0.7244,1.0000,"Brief positive comments like 'nice,' 'cute,' and compliments on photos/lighting."
c67,Step-by-Step Instructions,1,Other,0.5150,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c68,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c69,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c7,Step-by-Step Instructions,49,Other,0.5639,0.2500,"LLM route-to-Other: supports=25%, mixed_flag=True."
c70,Media Identification,32,Content Name Requests,0.7451,0.9000,Comments asking which movie is shown or discussing movie quality.
c71,Media Identification,13,Only Happens in Movies,0.7078,1.0000,"Comments noting that the depicted scenario only occurs in fictional movies, not real life."
c72,Personal Statements,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c73,Smooth and Youthful,4,Smooth Move Praise,0.7562,0.9000,"Comments emphasizing how smooth a particular action or line was, with 'that was smooth' as the core phrase."
c74,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c75,Smooth and Youthful,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c76,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c77,Exclamations and Questions,54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c78,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c79,Positive Affirmations,31,Clever Move Praise,0.6529,0.9000,Comments praising someone's cleverness or smart execution of a line or action.
c8,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c80,Observations on Women,9,Other,0.6008,0.4500,"LLM route-to-Other: supports=45%, mixed_flag=True."
c81,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c82,Smooth and Youthful,4,Smooth Move Praise,0.7562,0.9000,"Comments emphasizing how smooth a particular action or line was, with 'that was smooth' as the core phrase."
c83,Smooth and Youthful,0,Compliments on Gameplay,0.7062,0.9500,"Comments praising someone's performance or skill in a game, using phrases like 'well played' and 'nice one'."
c84,Smooth and Youthful,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c85,Observations on Women,15,Rizz and Charm Praise,0.5926,0.7500,"Comments celebrating someone's charisma, flirting skill ('rizz'), or clever romantic timing."
c86,Positive Affirmations,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c87,Personal Statements,1,Other,0.5150,0.4000,"LLM route-to-Other: supports=40%, mixed_flag=True."
c88,Step-by-Step Instructions,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c89,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c9,Exclamations and Questions,33,Confusion Reactions,0.7770,0.9500,"Comments expressing confusion through question marks, emojis, or explicit statements of being confused."
c90,Media Identification,-1,Other,0.0000,0.0000,HDBSCAN noise — not dense enough to form a cluster.
c91,Positive Affirmations,51,Other,0.7598,0.1500,"LLM route-to-Other: supports=15%, mixed_flag=True."
c92,AI or Fake Content,2,AI-Generated Content Identification,0.6491,0.8500,Comments identifying or debating whether the video content is AI-generated rather than real footage.
c93,Wordplay on 'Knee',54,Kneed vs Need Wordplay,0.6689,0.8500,"Comments expressing confusion about whether the word is 'kneed,' 'need,' 'knead,' or discussing the homophone mix-up."
c94,Wordplay on 'Knee',55,Kneed vs Need Wordplay,0.7836,1.0000,"Brief comments making puns or references involving the word 'knee' (knee grow, knee game, brain in knee)."
c95,Wordplay on 'Knee',53,Kneed vs Need Wordplay,0.6938,1.0000,Comments joking about intentionally kneeing people as a flirting or social strategy.
c96,Personal Statements,52,Kneed vs Need Wordplay,0.6553,0.8500,Comments making jokes or observations about the kneed/need wordplay in different contexts.
c97,Smooth and Youthful,3,Smooth Move Praise,0.8047,0.9500,"Comments praising someone's smooth romantic or social move, often with variations of 'smooth' and emojis."
c98,Media Identification,35,Content Name Requests,0.8012,1.0000,"Comments asking for the movie name, with one providing the answer (Orphan: First Kill)."
c99,Smooth and Youthful,5,Other,0.6895,0.3500,"LLM route-to-Other: supports=35%, mixed_flag=True."
